"","Municipality","Year","lt_ue","treatment","post","int","led","med","hed","lf","s_ltue_lf","s_led_ltue","s_med_ltue","s_hed_ltue","urb","pop","s_u15","s_15-64","s_o64","s_for","ex_births","net_mig","emp","ue","s_pen","dep_r","s_pri","s_sec","s_ser"
"1","Akaa",2010,186.083333333333,1,0,0,92,84.3333333333333,6.33333333333333,8114,2.29336126858927,49.4402149574563,45.320197044335,3.40349305866547,86.8,17012,19,63.3,17.7,1.1,51,84,69.1,11.4,24.4,140.9,4.1,35.5,58.8
"2","Akaa",2011,184.75,1,0,0,83.75,85.5833333333333,14.25,8016,2.30476546906188,45.3315290933694,46.3238610735228,7.71312584573748,86.8,17091,18.8,63,18.2,1.2,15,44,70.7,10.9,24.5,136,4,36.1,58.3
"3","Akaa",2012,188.75,1,0,0.333333333333333,83.25,89.8333333333333,13.3333333333333,7973,2.36736485639032,44.1059602649007,47.5938189845475,7.06401766004415,86.8,17134,18.7,62.5,18.8,1.4,50,-21,70.7,11.8,24.8,137.8,3.8,35.3,59.2
"4","Akaa",2013,267.75,1,0,1,105.416666666667,136.916666666667,22.5,8131,3.29295289632272,39.3713040771864,51.1360099595394,8.40336134453782,86.7,17108,18.8,61.6,19.7,1.4,26,-68,69,14.2,25.1,147.3,3.7,35.8,58.9
"5","Akaa",2014,325.583333333333,1,0,1,119.916666666667,170.666666666667,31.3333333333333,8166,3.98706016817699,36.8313283849501,52.4187356027643,9.62375223957,87,17052,18.6,61,20.4,1.5,-15,-58,68.8,15,25.3,150.5,3.3,35.7,59.2
"6","Akaa",2015,334,1,0,1,123.833333333333,175.583333333333,32.25,8070,4.13878562577447,37.0758483033932,52.5698602794411,9.65568862275449,88.4,17043,18.5,60.5,21,1.5,-7,-8,68.1,15.4,25.5,154.4,3.5,34.2,60.8
"7","Akaa",2016,398.916666666667,1,1,0,150.583333333333,205,40.8333333333333,8010,4.98023304203079,37.748067683309,51.3891790265302,10.2360559849593,88.5,16923,18.3,60.2,21.5,1.5,-39,-136,68.6,14.6,26.1,154.2,3.3,35.6,59.5
"8","Akaa",2017,315.916666666667,1,1,0,96.3333333333333,180.083333333333,38.25,7914,3.99187094600286,30.4932735426009,57.0034291743603,12.1076233183856,88.5,16769,18,59.8,22.2,1.6,-47,-125,71.9,9.9,26.9,144.7,3.4,36.8,58.3
"9","Akaa",2018,168.916666666667,1,1,0,41.5,100.416666666667,24.4166666666667,7793,2.16754352196416,24.568327577701,59.4474592994573,14.4548593981253,87.5,16611,17.7,59.4,22.9,1.7,-87,-96,NA,NA,NA,NA,NA,NA,NA
"10","Akaa",2019,141.833333333333,1,1,0,35.1666666666667,83.1666666666667,18.8333333333333,7607,1.86451075763551,24.7943595769683,58.6368977673325,13.2784958871915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Alajärvi",2010,60,0,0,0,35.8333333333333,26.25,0,4450,1.34831460674157,59.7222222222222,43.75,0,57.5,10487,18.7,60.4,20.8,1.6,7,-133,64.9,11.6,28.7,172.3,12.3,29,57
"12","Alajärvi",2011,63.1666666666667,0,0,0,33.3333333333333,27.0833333333333,0,4399,1.43593240888081,52.7704485488127,42.8759894459103,0,57.8,10327,18.8,60,21.2,1.9,-23,-192,64.6,11.4,29,175.1,12.6,28.1,57.4
"13","Alajärvi",2012,65.6666666666667,0,0,0.333333333333333,33.3333333333333,29.3333333333333,0,4355,1.5078453884424,50.761421319797,44.6700507614213,0,59.3,10268,18.5,59.5,22,1.9,-12,-94,65.3,12.2,29.5,174.3,11,27.5,59.4
"14","Alajärvi",2013,69.8333333333333,0,0,1,35.1666666666667,31.75,0,4240,1.64701257861635,50.3579952267303,45.4653937947494,0,60,10227,18.4,58.7,22.9,2.2,-12,-78,64,14.4,30.1,183.2,12,25.4,60.9
"15","Alajärvi",2014,72.25,0,0,1,37.6666666666667,29.9166666666667,0,4264,1.69441838649156,52.1337946943483,41.4071510957324,0,59.9,10171,18.1,58.2,23.7,2.3,-3,-79,64.1,14.5,30.7,186.5,12,24.1,62.2
"16","Alajärvi",2015,76.9166666666667,0,0,1,32,38.4166666666667,0,4217,1.82396648486286,41.6034669555796,49.9458288190682,0,60.3,10006,18.1,57.3,24.6,2.1,-34,-149,64.5,14.6,31.2,187.5,11.7,26.5,60.2
"17","Alajärvi",2016,82.0833333333333,0,1,0,33.1666666666667,42.4166666666667,0,4154,1.97600706146686,40.4060913705584,51.6751269035533,0,60.3,9899,17.8,56.6,25.6,1.8,-25,-103,65.5,13.9,32,187.7,11.6,26.4,59.9
"18","Alajärvi",2017,74.4166666666667,0,1,0,23.1666666666667,44.6666666666667,0,4077,1.82528002616303,31.1310190369541,60.0223964165733,0,60.7,9831,17.7,55.7,26.6,1.9,-19,-59,67.7,11.8,32.5,180.2,11,27.9,59.3
"19","Alajärvi",2018,41.6666666666667,0,1,0,10.75,25.4166666666667,0,3996,1.04270937604271,25.8,61,0,61.4,9700,17.4,55.4,27.2,2.1,-49,-104,NA,NA,NA,NA,NA,NA,NA
"20","Alajärvi",2019,39.9166666666667,0,1,0,7.5,26.5833333333333,0,3979,1.00318337940856,18.7891440501044,66.5970772442589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Alavieska",2010,35,0,0,0,16.0833333333333,13.25,0,1177,2.97366185216653,45.9523809523809,37.8571428571429,0,52.4,2770,20.5,60.2,19.2,0.4,4,-10,68,11.8,26,166.3,25.1,23.1,48.5
"22","Alavieska",2011,28,0,0,0,14.5833333333333,8.33333333333333,0,1177,2.37892948173322,52.0833333333333,29.7619047619048,0,52.2,2750,20.4,60.1,19.5,0.3,3,-24,69.4,10.6,26,159.7,25.8,23.7,48.3
"23","Alavieska",2012,26.5833333333333,0,0,0.333333333333333,13.1666666666667,6.75,0,1179,2.25473565168222,49.5297805642633,25.3918495297806,0,50.9,2761,20,59.8,20.1,0.7,11,-9,67.8,12.2,26.1,165.2,26.2,23,49.4
"24","Alavieska",2013,30.0833333333333,0,0,1,10.4166666666667,12.8333333333333,0,1184,2.54082207207207,34.6260387811634,42.6592797783934,0,52.6,2740,19.9,59.4,20.7,0.8,-2,-21,66.8,13.8,26.4,170,28.5,21.8,48.2
"25","Alavieska",2014,37.5833333333333,0,0,1,12.4166666666667,20.0833333333333,0,1186,3.16891512085441,33.0376940133038,53.4368070953437,0,52.1,2687,19.8,58.8,21.4,0.6,7,-59,66.8,14.2,27.6,171.1,26.8,22.3,49.3
"26","Alavieska",2015,48.9166666666667,0,0,1,16.8333333333333,28.75,0,1178,4.15251839275608,34.412265758092,58.7734241908007,0,52,2687,20.3,57.8,21.8,0.7,1,-7,67.3,14.6,27.7,174.7,25.2,21.4,51.6
"27","Alavieska",2016,48.5,0,1,0,14.8333333333333,26.4166666666667,0.416666666666667,1155,4.1991341991342,30.5841924398625,54.46735395189,0.859106529209622,52.1,2639,19.7,57.7,22.6,0.6,-13,-31,68.3,10.8,28.4,169.3,24.4,21.6,52
"28","Alavieska",2017,29.25,0,1,0,7.41666666666667,11.3333333333333,2.91666666666667,1145,2.55458515283843,25.3561253561254,38.7464387464387,9.97150997150997,52.6,2610,19.6,57.3,23.1,0.6,-5,-24,71.5,8.7,28.7,160,24.7,20,53.1
"29","Alavieska",2018,16.25,0,1,0,2.66666666666667,4.5,0,1099,1.4786169244768,16.4102564102564,27.6923076923077,0,53,2573,19.4,57,23.7,0.6,-4,-33,NA,NA,NA,NA,NA,NA,NA
"30","Alavieska",2019,12,0,1,0,1.66666666666667,3.75,0,1100,1.09090909090909,13.8888888888889,31.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Alavus",2010,70.5,0,0,0,35.5,36.9166666666667,0,5511,1.2792596624932,50.354609929078,52.3640661938534,0,58.3,12439,17.9,60.5,21.6,0.6,-28,-126,68.3,9.1,29.2,157.4,12.1,21.3,65.1
"32","Alavus",2011,65.75,0,0,0,25.3333333333333,38.1666666666667,0,5441,1.20841757029958,38.5297845373891,58.0481622306717,0,58.6,12385,17.8,59.8,22.4,0.8,-13,-51,68.8,9.1,29.4,157.5,11.6,22.1,64.9
"33","Alavus",2012,77.1666666666667,0,0,0.333333333333333,34.3333333333333,39.5833333333333,0,5318,1.45104675943337,44.4924406047516,51.2958963282937,0,57.7,12341,17.8,59.4,22.8,0.9,-39,-37,68.6,9.4,29.9,159.3,11.3,21.8,65.6
"34","Alavus",2013,77.6666666666667,0,0,1,37.5,35.25,0,5293,1.46734681025253,48.2832618025751,45.3862660944206,0,58.2,12228,17.7,59,23.3,1,-59,-60,68.8,10.2,30.2,160.3,10.4,22.5,65.9
"35","Alavus",2014,73.5,0,0,1,30.1666666666667,38.0833333333333,0,5256,1.39840182648402,41.0430839002268,51.8140589569161,0,58.7,12103,17.6,58.3,24.1,1,-21,-119,68.7,10.7,30.4,162.9,10.2,21.9,66.7
"36","Alavus",2015,65.3333333333333,0,0,1,21.8333333333333,39.9166666666667,0,5237,1.24753357520209,33.4183673469388,61.0969387755102,0,59,12044,17.5,57.8,24.8,1.1,-40,-23,67.2,12.6,31,171.6,10.2,21.5,67
"37","Alavus",2016,107.666666666667,0,1,0,33.3333333333333,65.25,3.08333333333333,5154,2.08899236838701,30.9597523219814,60.6037151702786,2.86377708978328,59.6,11907,17.1,57.2,25.7,1.1,-30,-118,68,11.3,31.5,172.1,9.9,23.3,65.6
"38","Alavus",2017,96.4166666666667,0,1,0,26,57.75,7.16666666666667,5076,1.89946151825584,26.9662921348315,59.8962834917891,7.43301642178047,59.5,11713,17,56.3,26.6,1.1,-42,-173,69.5,10.1,32.1,169,9.1,22.9,66.7
"39","Alavus",2018,46.9166666666667,0,1,0,12.1666666666667,26.5,0,4933,0.951077775525373,25.9325044404973,56.4831261101243,0,60,11544,17,56.1,26.9,1.1,-65,-104,NA,NA,NA,NA,NA,NA,NA
"40","Alavus",2019,40.3333333333333,0,1,0,7.33333333333333,25.5,0,4845,0.832473340213278,18.1818181818182,63.2231404958678,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Asikkala",2010,75.6666666666667,0,0,0,29.1666666666667,45,0,3831,1.97511528756634,38.5462555066079,59.4713656387665,0,62.7,8552,15.1,61.3,23.6,1.3,-39,32,67.9,9.9,31.5,155,12.4,32.1,53.3
"42","Asikkala",2011,78.75,0,0,0,32.9166666666667,37.6666666666667,0.416666666666667,3741,2.10505212510024,41.7989417989418,47.8306878306878,0.529100529100529,62.5,8498,14.5,60.5,25,1.3,-48,-11,68.4,9.1,32.2,153.7,11.4,31.8,54.3
"43","Asikkala",2012,62.5833333333333,0,0,0.333333333333333,26.5833333333333,30.4166666666667,0,3723,1.6809920315158,42.4766977363515,48.6018641810919,0,63.8,8461,14.7,59.2,26.1,1.3,-47,2,68.8,9.9,32.4,155.5,11,30.8,55.9
"44","Asikkala",2013,97.5,0,0,1,46.0833333333333,41.6666666666667,1.33333333333333,3687,2.64442636289666,47.2649572649573,42.7350427350427,1.36752136752137,64,8405,14.5,58.1,27.4,1.3,-35,-37,68,11.5,33.4,163.5,10.7,29.8,57.1
"45","Asikkala",2014,126.416666666667,0,0,1,63.6666666666667,52.5833333333333,6,3676,3.43897352194414,50.3625576796308,41.5952537903757,4.7462096242584,64.1,8374,14.7,57.2,28.1,1.4,-64,29,66.2,13.6,34,172.9,10.9,28.3,58.4
"46","Asikkala",2015,142.666666666667,0,0,1,67.8333333333333,61.0833333333333,8.75,3605,3.95746648173833,47.5467289719626,42.8154205607477,6.13317757009346,64.4,8287,14.3,56.4,29.3,1.5,-62,-22,67.8,13.4,34.8,172.2,10.2,29.2,58.5
"47","Asikkala",2016,145.833333333333,0,1,0,56.9166666666667,71.6666666666667,11.5833333333333,3554,4.10335771900206,39.0285714285714,49.1428571428571,7.94285714285714,64.4,8323,14.1,55.7,30.1,1.9,-53,-66,69.2,12,35.5,171.7,9.4,27.4,60.8
"48","Asikkala",2017,142.583333333333,0,1,0,56.3333333333333,70.1666666666667,12.9166666666667,3516,4.05527114144862,39.5090590298071,49.2109877264758,9.05902980713033,64.4,8248,14.2,54.7,31.1,1.6,-51,-102,69.1,12.1,36.5,176,9.4,29.4,58.7
