,Unnamed: 0,Municipality,Year,lt_ue,treatment,post,int,led,med,hed,lf,s_ltue_lf,s_led_ltue,s_med_ltue,s_hed_ltue,urb,pop,s_u15,s_15-64,s_o64,s_for,ex_births,net_mig,emp,ue,s_pen,dep_r,s_pri,s_sec,s_ser,lt_ue_ratio,lt_ue_med_ratio,lt_ue_led_ratio,lt_ue_change,lt_ue_ratio_change,abs_lt_ue_ratio_change
0,1,Akaa,2010,186.083333333333,1,0,0.0,92.0,84.3333333333333,6.33333333333333,8114,2.29336126858927,49.44021495745629,45.320197044335,3.4034930586654704,86.8,17012.0,19.0,63.3,17.7,1.1,51.0,84.0,69.1,11.4,24.4,140.9,4.1,35.5,58.8,0.022933612685892654,0.010393558458631168,0.011338427409415824,-0.00716524854455712,0.004972701261160578,0.00011404200472610662
1,2,Akaa,2011,184.75,1,0,0.0,83.75,85.5833333333333,14.25,8016,2.3047654690618797,45.3315290933694,46.3238610735228,7.71312584573748,86.8,17091.0,18.8,63.0,18.2,1.2,15.0,44.0,70.7,10.9,24.5,136.0,4.0,36.1,58.3,0.02304765469061876,0.010676563539587488,0.010447854291417166,0.02165087956698241,0.027160849192139895,0.0006259938732844118
2,3,Akaa,2012,188.75,1,0,0.0,83.25,89.8333333333333,13.333333333333302,7973,2.36736485639032,44.1059602649007,47.593818984547504,7.064017660044151,86.8,17134.0,18.7,62.5,18.8,1.4,50.0,-21.0,70.7,11.8,24.8,137.8,3.8,35.3,59.2,0.023673648563903173,0.011267193444541992,0.01044149002884736,0.4185430463576159,0.39097819562283515,0.009255880399323985
3,4,Akaa,2013,267.75,1,0,1.0,105.416666666667,136.916666666667,22.5,8131,3.29295289632272,39.3713040771864,51.13600995953939,8.40336134453782,86.7,17108.0,18.8,61.6,19.7,1.4,26.0,-68.0,69.0,14.2,25.1,147.3,3.7,35.8,58.9,0.03292952896322716,0.01683884721026528,0.01296478497929738,0.21599751011515606,0.21078566675806185,0.006941072718542746
4,5,Akaa,2014,325.58333333333303,1,0,1.0,119.916666666667,170.666666666667,31.3333333333333,8166,3.98706016817699,36.831328384950105,52.4187356027643,9.62375223957,87.0,17052.0,18.6,61.0,20.4,1.5,-15.0,-58.0,68.8,15.0,25.3,150.5,3.3,35.7,59.2,0.0398706016817699,0.02089966527879831,0.01468487223446816,0.025851036600973567,0.038054469006635776,0.001517254575974833
5,6,Akaa,2015,334.0,1,0,1.0,123.833333333333,175.583333333333,32.25,8070,4.13878562577447,37.0758483033932,52.5698602794411,9.655688622754491,88.4,17043.0,18.5,60.5,21.0,1.5,-7.0,-8.0,68.1,15.4,25.5,154.4,3.5,34.2,60.8,0.041387856257744736,0.02175753820735229,0.015344898802147832,0.19436127744511086,0.20330780386792066,0.00841447416256326
10,11,Alajärvi,2010,60.0,0,0,0.0,35.8333333333333,26.25,0.0,4450,1.3483146067415699,59.72222222222221,43.75,0.0,57.5,10487.0,18.7,60.4,20.8,1.6,7.0,-133.0,64.9,11.6,28.7,172.3,12.3,29.0,57.0,0.01348314606741573,0.005898876404494382,0.008052434456928832,0.05277777777777833,0.06498320325326516,0.0008761780213923393
11,12,Alajärvi,2011,63.1666666666667,0,0,0.0,33.3333333333333,27.0833333333333,0.0,4399,1.43593240888081,52.7704485488127,42.8759894459103,0.0,57.8,10327.0,18.8,60.0,21.2,1.9,-23.0,-192.0,64.6,11.4,29.0,175.1,12.6,28.1,57.4,0.01435932408880807,0.006156702280821391,0.007577479730241714,0.03957783641160948,0.05008103384033757,0.0007191297956159713
12,13,Alajärvi,2012,65.6666666666667,0,0,0.0,33.3333333333333,29.3333333333333,0.0,4355,1.5078453884424,50.761421319797,44.6700507614213,0.0,59.3,10268.0,18.5,59.5,22.0,1.9,-12.0,-94.0,65.3,12.2,29.5,174.3,11.0,27.5,59.4,0.015078453884424041,0.006735553004209713,0.007654037504783766,0.06345177664974515,0.09229539795038687,0.0013916719017394736
13,14,Alajärvi,2013,69.8333333333333,0,0,1.0,35.1666666666667,31.75,0.0,4240,1.64701257861635,50.357995226730296,45.4653937947494,0.0,60.0,10227.0,18.4,58.7,22.9,2.2,-12.0,-78.0,64.0,14.4,30.1,183.2,12.0,25.4,60.9,0.016470125786163515,0.007488207547169811,0.008294025157232713,0.03460620525059715,0.02878290578389575,0.0004740580787520564
