,Unnamed: 0,Municipality,Year,lt_ue,treatment,post,int,led,med,hed,lf,s_ltue_lf,s_led_ltue,s_med_ltue,s_hed_ltue,urb,pop,s_u15,s_15-64,s_o64,s_for,ex_births,net_mig,emp,ue,s_pen,dep_r,s_pri,s_sec,s_ser,lt_ue_ratio,lt_ue_hed_ratio,lt_ue_med_ratio,lt_ue_led_ratio,lt_ue_change,lt_ue_med_change,lt_ue_led_change
0,1,Akaa,2010,186.083333333333,1,0,0.0,92.0,84.3333333333333,6.33333333333333,8114,2.29336126858927,49.44021495745629,45.320197044335,3.4034930586654704,86.8,17012.0,19.0,63.3,17.7,1.1,51.0,84.0,69.1,11.4,24.4,140.9,4.1,35.5,58.8,0.022933612685892654,0.0007805439158655818,0.010393558458631168,0.011338427409415824,-0.00716524854455712,0.014822134387351785,-0.08967391304347826
1,2,Akaa,2011,184.75,1,0,0.0,83.75,85.5833333333333,14.25,8016,2.3047654690618797,45.3315290933694,46.3238610735228,7.71312584573748,86.8,17091.0,18.8,63.0,18.2,1.2,15.0,44.0,70.7,10.9,24.5,136.0,4.0,36.1,58.3,0.02304765469061876,0.001777694610778443,0.010676563539587488,0.010447854291417166,0.02165087956698241,0.04965920155793575,-0.005970149253731343
2,3,Akaa,2012,188.75,1,0,0.0,83.25,89.8333333333333,13.333333333333302,7973,2.36736485639032,44.1059602649007,47.593818984547504,7.064017660044151,86.8,17134.0,18.7,62.5,18.8,1.4,50.0,-21.0,70.7,11.8,24.8,137.8,3.8,35.3,59.2,0.023673648563903173,0.0016723107153309045,0.011267193444541992,0.01044149002884736,0.4185430463576159,0.524118738404457,0.26626626626627026
3,4,Akaa,2013,267.75,1,0,1.0,105.416666666667,136.916666666667,22.5,8131,3.29295289632272,39.3713040771864,51.13600995953939,8.40336134453782,86.7,17108.0,18.8,61.6,19.7,1.4,26.0,-68.0,69.0,14.2,25.1,147.3,3.7,35.8,58.9,0.03292952896322716,0.0027671873078342147,0.01683884721026528,0.01296478497929738,0.21599751011515606,0.24650030432136277,0.13754940711462407
4,5,Akaa,2014,325.58333333333303,1,0,1.0,119.916666666667,170.666666666667,31.3333333333333,8166,3.98706016817699,36.831328384950105,52.4187356027643,9.62375223957,87.0,17052.0,18.6,61.0,20.4,1.5,-15.0,-58.0,68.8,15.0,25.3,150.5,3.3,35.7,59.2,0.0398706016817699,0.003837047922279366,0.02089966527879831,0.01468487223446816,0.025851036600973567,0.02880859374999606,0.0326615705350882
5,6,Akaa,2015,334.0,1,0,1.0,123.833333333333,175.583333333333,32.25,8070,4.13878562577447,37.0758483033932,52.5698602794411,9.655688622754491,88.4,17043.0,18.5,60.5,21.0,1.5,-7.0,-8.0,68.1,15.4,25.5,154.4,3.5,34.2,60.8,0.041387856257744736,0.003996282527881041,0.02175753820735229,0.015344898802147832,0.19436127744511086,0.16753678215472456,0.21601615074024283
6,7,Akaa,2016,398.916666666667,1,1,0.0,150.583333333333,205.0,40.8333333333333,8010,4.98023304203079,37.748067683309,51.3891790265302,10.2360559849593,88.5,16923.0,18.3,60.2,21.5,1.5,-39.0,-136.0,68.6,14.6,26.1,154.2,3.3,35.6,59.5,0.049802330420307996,0.005097794423637116,0.025593008739076155,0.01879941739492297,-0.20806350532692705,-0.12154471544715609,-0.36026563364692743
7,8,Akaa,2017,315.91666666666697,1,1,0.0,96.3333333333333,180.083333333333,38.25,7914,3.99187094600286,30.4932735426009,57.00342917436029,12.107623318385599,88.5,16769.0,18.0,59.8,22.2,1.6,-47.0,-125.0,71.9,9.9,26.9,144.7,3.4,36.8,58.3,0.03991870946002868,0.004833206974981046,0.022755033274366062,0.012172521270322631,-0.4653125824320754,-0.4423877834335927,-0.5692041522491348
10,11,Alajärvi,2010,60.0,0,0,0.0,35.8333333333333,26.25,0.0,4450,1.3483146067415699,59.72222222222221,43.75,0.0,57.5,10487.0,18.7,60.4,20.8,1.6,7.0,-133.0,64.9,11.6,28.7,172.3,12.3,29.0,57.0,0.01348314606741573,0.0,0.005898876404494382,0.008052434456928832,0.05277777777777833,0.03174603174603048,-0.06976744186046518
11,12,Alajärvi,2011,63.1666666666667,0,0,0.0,33.3333333333333,27.0833333333333,0.0,4399,1.43593240888081,52.7704485488127,42.8759894459103,0.0,57.8,10327.0,18.8,60.0,21.2,1.9,-23.0,-192.0,64.6,11.4,29.0,175.1,12.6,28.1,57.4,0.01435932408880807,0.0,0.006156702280821391,0.007577479730241714,0.03957783641160948,0.08307692307692317,0.0
